modality,band,band_name,unit,shape,valid_%,min,mean,max,p50
Weather_terraclimate,2,TMAX,,2x2,100.0,30.9083,30.9633,31.0142,30.9654
Weather_terraclimate,3,TMEAN,,2x2,100.0,27.4575,27.4991,27.5383,27.5002
Weather_terraclimate,4,PRCP,,2x2,100.0,2813.8,2818.55,2822.0,2819.2002
Weather_terraclimate,5,SRAD,,2x2,100.0,165.65,165.9021,166.2083,165.875
Weather_terraclimate,6,VP,,2x2,100.0,3.0489,3.0495,3.0501,3.0495
Weather_terraclimate,7,RH_DERIVED,,2x2,100.0,82.8939,83.0681,83.2546,83.0619
Weather_terraclimate,8,WS,,2x2,100.0,2.1408,2.1462,2.1542,2.145
Weather_terraclimate,9,SWE,,2x2,100.0,0.0,0.0,0.0,0.0
Weather_terraclimate,10,SWE_MAX,,2x2,100.0,0.0,0.0,0.0,0.0
nightlight_MVNL,1,band 1,nW cm-2 sr-1,4x4,100.0,14.8668,88.0552,136.2656,99.5256
