modality,band,band_name,unit,shape,valid_%,min,mean,max,p50
RemoteSensing,2,band 2,8-bit RGB derived from Landsat Collection 2 Level-2 surface reflectance with a fixed 0-0.35 display stretch,512x512,100.0,1.0,72.2558,255.0,67.0
RemoteSensing,3,band 3,8-bit RGB derived from Landsat Collection 2 Level-2 surface reflectance with a fixed 0-0.35 display stretch,512x512,98.59,1.0,40.4933,226.0,35.0
Temperature_LandsatST,1,lst_mean_celsius,degree Celsius for LST bands,512x512,100.0,37.2289,37.2289,37.2289,37.2289
Temperature_LandsatST,2,lst_median_celsius,degree Celsius for LST bands,512x512,100.0,38.3427,38.3427,38.3427,38.3427
Temperature_LandsatST,3,lst_p90_celsius,degree Celsius for LST bands,512x512,100.0,40.9175,40.9175,40.9175,40.9175
Temperature_LandsatST,4,lst_p95_celsius,degree Celsius for LST bands,512x512,100.0,41.6293,41.6293,41.6293,41.6293
Temperature_LandsatST,5,lst_std_celsius,degree Celsius for LST bands,512x512,100.0,3.5617,3.5617,3.5617,3.5617
Temperature_LandsatST,6,valid_fraction,degree Celsius for LST bands,512x512,100.0,1.0,1.0,1.0,1.0
Temperature_LandsatST,7,valid_pixel_count,degree Celsius for LST bands,512x512,100.0,4489.0,4489.0,4489.0,4489.0
Temperature_MODISLST,1,lst_mean_celsius,degree Celsius for LST bands,512x512,100.0,32.8125,32.8125,32.8125,32.8125
Temperature_MODISLST,2,lst_median_celsius,degree Celsius for LST bands,512x512,100.0,32.855,32.855,32.855,32.855
Temperature_MODISLST,3,lst_p90_celsius,degree Celsius for LST bands,512x512,100.0,33.166,33.166,33.166,33.166
Temperature_MODISLST,4,lst_p95_celsius,degree Celsius for LST bands,512x512,100.0,33.208,33.208,33.208,33.208
Temperature_MODISLST,5,lst_std_celsius,degree Celsius for LST bands,512x512,100.0,0.3516,0.3516,0.3516,0.3516
Temperature_MODISLST,6,valid_fraction,degree Celsius for LST bands,512x512,100.0,1.0,1.0,1.0,1.0
Temperature_MODISLST,7,valid_pixel_count,degree Celsius for LST bands,512x512,100.0,4.0,4.0,4.0,4.0
Weather_CHELSA_daily,1,TMIN,,2x2,100.0,25.8744,25.9263,25.9786,25.9261
Weather_CHELSA_daily,2,TMAX,,2x2,100.0,28.2981,28.3042,28.3099,28.3045
Weather_CHELSA_daily,3,TMEAN,,2x2,100.0,27.1676,27.1913,27.2165,27.1906
Weather_CHELSA_daily,4,PRCP,,2x2,100.0,2048.218,2061.2332,2074.7974,2060.959
Weather_CHELSA_daily,5,SRAD,,2x2,100.0,215.7926,215.9727,216.1546,215.9718
Weather_CHELSA_daily,6,RH,,2x2,100.0,64.1731,64.4101,64.6409,64.4132
Weather_CHELSA_daily,7,WIND,,2x2,100.0,4.2903,4.3074,4.3243,4.3074
Weather_CHELSA_daily,8,PRESSURE,,2x2,100.0,1008.9495,1009.3398,1009.7408,1009.3346
Weather_CHELSA_daily,9,CLOUD,,2x2,100.0,29.8115,29.8443,29.8775,29.8442
Weather_terraclimate,1,TMIN,,2x2,100.0,23.87,23.8962,23.9217,23.8967
Weather_terraclimate,2,TMAX,,2x2,100.0,30.6783,30.7333,30.7833,30.7358
Weather_terraclimate,3,TMEAN,,2x2,100.0,27.2742,27.3148,27.3525,27.3162
Weather_terraclimate,4,PRCP,,2x2,100.0,2116.3999,2126.75,2136.3,2127.1499
Weather_terraclimate,5,SRAD,,2x2,100.0,184.875,185.1375,185.4583,185.1083
Weather_terraclimate,6,VP,,2x2,100.0,3.0028,3.0035,3.0042,3.0036
Weather_terraclimate,7,RH_DERIVED,,2x2,100.0,82.5288,82.7032,82.8942,82.695
Weather_terraclimate,8,WS,,2x2,100.0,2.13,2.1348,2.1408,2.1342
Weather_terraclimate,9,SWE,,2x2,100.0,0.0,0.0,0.0,0.0
Weather_terraclimate,10,SWE_MAX,,2x2,100.0,0.0,0.0,0.0,0.0
nightlight_MVNL,1,band 1,nW cm-2 sr-1,4x4,100.0,25.3557,96.4588,140.6568,109.6458
